ACE Inhibitor|C247|I10|Essential (primary) hypertension|Hypertension|
ACE Inhibitor|C247|I10-I15.9|Hypertensive diseases|Hypertension|
ADE Regimen|C9579|C92.0|Acute myeloid leukaemia|Acute Myeloid Leukemia|
Abarelix|C2015|C61|Malignant neoplasm of prostate|Prostate Cancer|
Aleplasinin|C76071|G30|Alzheimer's disease|Alzheimer's disease|
Aliskiren|C65222|I10-I15.9|Hypertensive diseases|High blood pressure|
Anakinra|C38717|M06.9|Rheumatoid arthritis, unspecified|Rheumatoid arthritis|
Arformoterol Tartrate|C65240|J44.9|Chronic obstructive pulmonary disease, unspecified|Chronic Obstructive Pulmonary Disease|
Azacitidine|C288|D46|Myelodysplastic syndromes|Myelodysplastic Syndrome|
Azilsartan Medoxomil|C75110|I10|Essential (primary) hypertension|Hypertension|
Azilsartan Medoxomil|C75110|I10-I15.9|Hypertensive diseases|Hypertension|
Balsalazide Disodium|C47409|K51|Ulcerative colitis|Ulcerative Colitis|
Bapineuzumab|C79569|G30|Alzheimer's disease|Alzheimer's disease|
Belimumab|C91385|M32|Systemic lupus erythematosus|Systemic Lupus Erythematosus|
Bendamustine Hydrochloride|C61565|C91.1|Chronic lymphocytic leukaemia|chronic lymphocytic leukemia|
Benralizumab|C88594|J45|Asthma|Asthma|
Benznidazole|C1013|B57|Chagas' disease|Chagas disease|
CHOP Regimen|C9549|C83.1|Small cleaved cell (diffuse)|Non Hodgkin Lymphoma|
CHOP Regimen|C9549|C83.1|Small cleaved cell (diffuse) non-Hodgkin's lymphoma|Non Hodgkin Lymphoma|
CHOP Regimen|C9549|C85.9|Non-Hodgkin's lymphoma, unspecified type|Non Hodgkin Lymphoma|
Carbamazepine|C341|G40|Epilepsy|Epilepsy|
Cetirizine Hydrochloride|C28920|T78.4|Allergy, unspecified|Allergies|
Cevimeline Hydrochloride|C1337|M35.0|Sicca syndrome [Sjogren]|Sjogrens syndrome|
Decitabine|C981|D46|Myelodysplastic syndromes|Myelodysplastic Syndrome|
Desonide|C61702|L30.9|Dermatitis, unspecified|Dermatitis|
Diclofenac Potassium|C47983|G43|Migraine|Migraine|
Dornase Alfa|C81664|E84|Cystic fibrosis|cystic fibrosis|
Dornase Alfa Inhalation Solution|C70980|E84|Cystic fibrosis|Cystic Fibrosis|
Eculizumab|C48386|D59.5|Paroxysmal nocturnal haemoglobinuria [Marchiafava-Micheli]|Paroxysmal Nocturnal Hemoglobinuria|
Enzalutamide|C71744|C61|Malignant neoplasm of prostate|Prostate cancer|
Epirubicin Hydrochloride|C474|C50|Malignant neoplasm of breast|Breast cancer|
Epirubicin Hydrochloride|C474|C50-C50.9|Malignant neoplasm of breast|Breast cancer|
Epirubicin Hydrochloride|C474|C50.9|Breast, unspecified|Breast cancer|
Epirubicin Hydrochloride|C474|C50.9|Malignant neoplasm of breast, unspecified|Breast cancer|
Epratuzumab|C1887|M32|Systemic lupus erythematosus|Systemic lupus erythematosus|
Eribulin|C96748|C50|Malignant neoplasm of breast|Breast Cancer|
Eribulin|C96748|C50-C50.9|Malignant neoplasm of breast|Breast Cancer|
Eribulin|C96748|C50.9|Breast, unspecified|Breast Cancer|
Eribulin|C96748|C50.9|Malignant neoplasm of breast, unspecified|Breast Cancer|
Eribulin Mesylate|C26644|C50|Malignant neoplasm of breast|Breast Cancer|
Eribulin Mesylate|C26644|C50-C50.9|Malignant neoplasm of breast|Breast Cancer|
Eribulin Mesylate|C26644|C50.9|Breast, unspecified|Breast Cancer|
Eribulin Mesylate|C26644|C50.9|Malignant neoplasm of breast, unspecified|Breast Cancer|
Ferumoxytol Non-Stoichiometric Magnetite|C87701|D50|Iron deficiency anaemia|Iron deficiency anemia|
Fludarabine Phosphate|C1102|C91.1|Chronic lymphocytic leukaemia|Chronic Lymphocytic Leukemia|
Gantenerumab|C88580|G30|Alzheimer's disease|Alzheimer's disease|
Icatibant Acetate|C98884|T78.3|Angioneurotic oedema|Angioedema|
Indium In-111 Ibritumomab Tiuxetan|C2579|C83.1|Small cleaved cell (diffuse)|Non-Hodgkins lymphoma|
Indium In-111 Ibritumomab Tiuxetan|C2579|C83.1|Small cleaved cell (diffuse) non-Hodgkin's lymphoma|Non-Hodgkins lymphoma|
Indium In-111 Ibritumomab Tiuxetan|C2579|C85.9|Non-Hodgkin's lymphoma, unspecified type|Non-Hodgkins lymphoma|
