Abciximab|C76128|||as an adjunct to aspirin and heparin for the prevention of acute cardiac ischemic complications|
Abiraterone Acetate|C68845|||Castration-resistant prostate cancer|
Absorbable Gelatin Sponge|C38705|||Homeostasis|
Acetylcysteine|C200|||Acetaminophen Overdose|
Acitretin|C985|||Psoriasis; cutaneous T-cell lymphoma|
Adalimumab|C65216|||Rheumatoid Arthritis, Crohn's Disease, Ankylosing Spondylitis, Psoriatic Arthritis|
Adapalene|C28989|||Topical treatment of acne vulgaris|
Adefovir Dipivoxil|C28811|||Chronic Hepatitis B|
Afegostat Tartrate|C83521|||Gaucher disease|
Agalsidase Alfa|C74209|||Fabry disease|
Alemtuzumab|C1681|||Chronic Lymphocytic Leukemia (CLL)|
Alglucerase|C74208|||replacement treatment for Gaucher's disease|
Alglucosidase Alfa|C65221|||replacement ttherapy for Pompe disease|
Alitretinoin|C1574|||Topical treatment of cutaneous lesions in patients with AIDS-related Kaposi sarcoma|
Alogliptin Benzoate|C75186|||type II diabetes|
Alprostadil|C28816|||Erectile dysfunction; Patent ductus arteriosus|
Aluminum Sulfate Anhydrous|C228|||Allergy, diagnosis|
Amantadine Hydrochloride|C28818|||Parkinson disease; infections caused by influenza A virus|
Amifostine|C488|||Cisplatin-induced nephrotoxicity; Radiation-induced mucositis and xerostomia|
Aminobenzoate Potassium|C1736|||Diseases involving fibrosis and nonsuppurative inflammation|
Amiodarone Hydrochloride|C236|||Ventricular Fibrillation and Ventricular Tachycardia|
Amonafide L-Malate|C61306|||Treatment of secondary acute myeloid leukemia|
Amoxicillin-Clavulanate Potassium|C1023|||Various bacterial infections|
Anastrozole|C1607|||Hormone Receptor-Positive Early Breast cancer|
Ancestim|C1646|||Peripheral blood progenitor cell mobilizer|
Anidulafungin|C38716|||Candidemia|
Anti-EpCAM Antibody Fragment-Pseudomonas-exotoxin Fusion Protein|C61307|||advanced, recurrent head and neck cancer|
Anti-Thymocyte Globulin|C278|||Heart and renal transplantation rejection, prophylaxis|
Arcitumomab|C1494|||Colorectal carcinoma and medullary thyroid carcinoma detection|
Aripiprazole|C47403|||Major Depressive Disorder|
Armodafinil|C65241|||Excessive sleepiness|
Arsenic Trioxide|C1005|||Myelodysplastic syndrome; multiple myeloma; chronic myeloid leukemia; acute myelocytic leukemia|
Ascorbic Acid|C285|||Ascorbic acid deficiency; Burns; Iron nutrition; Scurvy; Wound healing|
Asenapine|C72705|||acute treatment of schizophrenia in adults and acute treatment of manic or mixed episodes associated with bipolar I disorder with or without psychotic features in adults|
Asparaginase|C286|||Acute lymphocytic leukemia; Acute non-lymphocytic leukemia|
Asparaginase Erwinia chrysanthemi|C64260|||Acute lymphocytic leukemia; Acute non-lymphocytic leukemia|
Aspirin|C287|||Mild to moderate pain; fever; prevention of arterial and venous thrombosis|
Azelastine Hydrochloride|C47408|||seasonal allergic rhinitis|
BCG Vaccine|C298|||Bladder cancer; Tuberculosis, immunization|
BCG Vaccine|C298|||Immunoadjuvant in Vaccine Therapy|
Baclofen|C28858|||Cerebral Spasticity, Chronic Spasticity|
Balapiravir Hydrochloride|C87440|||Dengue virus infection|
Bardoxolone|C48382|||Antineoplastic and anti-inflammatory|
Beclomethasone Dipropionate|C299|||Asthma; GI graft vs. host disease, prevention; Nasal polyps; Rhinitis|
Belatacept|C80255|||Organ Transplant, Rejection Prophylaxis|
Bendamustine|C73261|||Chronic Lymphocytic Leukemia, Indolent B-cell non-Hodgkin Lymphoma|
Benzydamine Hydrochloride|C1581|||Radiation-induced oral mucositis|
Bepotastine|C77431|||ocular itching|
Bepotastine Besilate|C83550|||ocular itching|
Beta-Carotene|C1016|||Dietary supplement; prevention of photosensitivity reactions in patients with erythropoietic protoporphyria; polymorphous light eruption; chemoprevention for cardiovascular disease and cancer|
Bevacizumab|C2039|||Metastatic Colorectal Cancer, Non-small Cell Lung Cancer, glioblastoma; Metastatic Renal Cell Carcinoma|
Bexarotene|C1635|||Oral or topical treatment of cutaneous manifestations of cutaneous T-cell lymphoma (CTCL).|
Bicalutamide|C1599|||Metastatic prostate cancer|
Bimatoprost|C47414|||Hypotrichosis of Eyelashes|
Bleomycin Sulfate|C312|||Squamous cell carcinomas of the head and neck; penis; cervix and vulva; Hodgkins and; non-Hodgkins lymphoma; testicular embryonal cell and ovarian carcinoma; chorio- and teratocarcinoma; malignant pleural effusion; melanoma; sarcoma; ovary germ cell tumor|
Bortezomib|C1851|||Multiple Myeloma; Advanced Thyroid Cancer|
Botulinum Toxin Type A|C82623|||Treatment of cervical dystonia, severe primary axillary hyperhidrosis, Glabellar lines, blepharospasm, strabismus|
Brentuximab Vedotin|C66944|||Hodgkin lymphoma; anaplastic large cell lymphoma (ALCL)|
Bupropion Hydrochloride|C1317|||Depression; Smoking cessation|
Buserelin|C320|||Breast cancer; Contraception, female; Endometriosis; Infertility; in vitro fertilization; Polycystic ovary syndrome; Prostate cancer; Uterine leiomyoma|
Buspirone Hydrochloride|C26641|||alcohol abuse; anxiety; depression; migraine prophylaxis; smoking cessation; panic disorder.|
Busulfan|C321|||Bone marrow disorders; chronic myelogenous leukemia; palliative; neoadjuvant to allogeneic hematopoietic progenitor cell transplantation; neoplastic meningitis; primary brain malignancies|
CA-125 Antigen|C325|||Monitoring levels in patients with Ovarian Cancer|
CAPOX Regimen|C63596|||adjuvant treatment gastric cancer|
Cabazitaxel|C66937|||metastatic hormone-refractory prostate cancer|
Calcitriol|C330|||Hyperparathyroidism; Hypocalcemia|
Calcium Carbonate|C332|||Calcium Deficiency, prophylaxis; hyperacidity; hyperphosphatemia; osteoporosis; rickets|
Calcium Citrate|C1355|||Calcium supplement; Hypocalcemia; Osteoporosis; Rickets; Tetany|
Calcium Gluconate|C336|||Hyperkalemia; Hypocalcemic tetany; Magnesium intoxication|
Canakinumab|C80971|||Muckle-Wells syndrome, rheumatoid arthritis, other inflammatory conditions|
Canakinumab|C80971|||cryopyrin-associated periodic syndrome, Muckle-Wells syndrome, rheumatoid arthritis|
Candida Albicans Skin Test Reagent|C2595|||Cellular hypersensitivity.|
Capecitabine|C1794|||Breast cancer; Colorectal cancer, Stage III colon cancer|
Captopril|C340|||Hypertension; Heart failure; Left ventricular dysfunction; Diabetic nephropathy|
Carbenicillin Indanyl Sodium|C1409|||Urinary tract infections; prostatitis|
Carbogen|C1038|||inhalation therapy to produce vasodilation.|
Carbon-11 Acetate|C38712|||Diagnostic imaging|
Carboplatin|C1282|||Osteogenic sarcoma; CNS and germ cell tumors; ovarian; lung; head and neck; endometrial; esophageal; bladder; breast; cervical cancer.|
Carglumic Acid|C76884|||N-acetylglutamate synthase (NAGS) Deficiency Hyperammonemia|
Carmustine|C349|||Brain tumors; colon cancer; lung cancer; lymphomas; Hodgkins and Non-Hodgkins; melanoma; multiple myeloma; mycosis fungoides|
Cefepime Hydrochloride|C1041|||Upper respiratory tract and urinary tract infections; febrile neutropenic conditions|
Celecoxib|C1728|||Acute pain; Familial adenomatous polyposis; Primary dysmenorrhea; Osteoarthritis; Rheumatoid arthritis|
Cetuximab|C1723|||Advanced colorectal cancer; Head and neck cancer|
Chlorambucil|C362|||chronic lymphocytic leukemia, Hodgkin lymphoma, and certain types of non-Hodgkin lymphoma.|
Ciclesonide|C65326|||Allergic Rhinitis; Asthma|
Ciluprevir|C76016|||Hepatitis C Infection|
Cimetidine|C374|||Gastrointestinal conditions; allergic reaction prevention; immune modulation|
Ciprofloxacin|C375|||Inhaled anthrax, post-exposure; Susceptible infectious diseases|
Cisplatin|C376|||metastatic testicular cancer; ovarian cancer; head and neck cancer; breast cancer; Hodgkin's and non-Hodgkin's lymphoma; myeloma and melanoma|
Cladribine|C1336|||Acute myeloid leukemia; Chronic lymphocytic leukemia; Cutaneous T-cell lymphoma; Hairy cell leukemia; Langerhans cell histiocytosis; Non-Hodgkins lymphoma; Waldenstroms macroglobulinemia|
Clarithromycin|C1054|||H. pylori infection; Various bacterial infections|
Clobazam|C81615|||Lennox-Gastaut Syndrome|
Clobetasol Propionate|C28934|||Psoriasis, Eczema|
Clodronate Disodium|C1418|||Adjuvant usage in bone metastasis of Breast cancer|
Clofarabine|C26638|||Acute lymphoblastic leukemia, pediatric|
Clopidogrel Bisulfate|C2673|||Thromboembolic Disorders.|
Coenzyme Q10|C916|||Chronic heart failure; mitochondrial cytopathies|
Cordycepin|C1057|||TdT-positive acute lymphocytic leukemia.|
Cosyntropin|C28941|||Diagnosis of adrenal insufficiency|
Crizotinib|C74061|||Non-Small Cell Lung Cancer|
Cyclobenzaprine|C28947|||Muscle Spasm|
Cyclophosphamide|C405|||Breast cancer; Leukemias; Lupus nephritis; Lymphoma; Multiple myeloma; Neuroblastoma; Nephrotic syndrome; Ovarian cancer; Retinoblastoma; Acute Lymphoblastic Leukemia; Acute Myeloid Leukemia; Chronic Lymphocytic Leukemia; Chronic Myelogenous Leukemia|
Cyclosporine|C406|||Allogenic transplants; prophylaxis of organ rejection in bone marrow; kidney; liver and heart transplants; psoriasis; rheumatoid arthritis; various diseases that involve autoimmune response|
Cyproheptadine Hydrochloride|C28949|||Hypersensitivity reactions|
Cytarabine|C408|||Acute lymphocytic leukemia; Acute Nonlymphocytic leukemia; Bone marrow transplantation; Carcinomatous meningitis; Chronic myelogenous leukemia; Hogkins disease;|
Cytarabine|C408|||Meningeal leukemia; Acute Myeloid Leukemia; Meningitis lymphomatous; Myelodysplasic syndrome; Non-Hodgkins lymphoma; Ovarian cancer, intraperitoneal treatment; Retinoblastoma|
Dacarbazine|C411|||Carcinoid cancer; Hodgkins disease; Islet cell carcinoma; Melanoma; Neuroblastoma; Soft tissue sarcoma|
Daclizumab|C1569|||Kidney transplant rejection, prevention|
Dactinomycin|C412|||Wilms' tumor; rhabdomyosarcoma; Ewing's sarcoma; testicular cancer; gestational trophoblastic neoplasia; choriocarcinoma; melanoma; neuroblastoma; retinoblastoma; uterine sarcomas; Kaposi's sarcoma; sarcoma botryoides; soft tissue sarcoma.|
Dalfampridine|C76777|||Indicated to improved walking in patients with multiple sclerosis|
Dalteparin|C1453|||Deep vein thrombosis, prophylaxis; Ischemic complications in unstable angina and non-Q wave myocardial infarction, prophylaxis|
Dapsone|C415|||Acne vulgaris; Dermatitis herpetiformis; Leprosy|
Darbepoetin Alfa|C1878|||Chemotherapy-induced anemia; chronic renal failure/insufficiency|
Dasatinib|C38713|||Chronic myeloid leukemia; Philadelphia chromosome-positive acute lymphoblastic leukemia|
Daunorubicin Hydrochloride|C1583|||Acute Lymphoblastic Leukemia; Acute Myeloid Leukemia|
Deferiprone|C73030|||Hemosiderosis|
Defibrotide|C1064|||Thrombotic thrombocytopenic purpura|
Degarelix|C48385|||advanced prostate cancer|
Degarelix Acetate|C80443|||advanced prostate cancer|
Denileukin Diftitox|C1476|||Cutaneous T-cell lymphoma|
Denosumab|C61313|||Osteolytic Bone Metastases of Solid Tumors|
Deslorelin|C38709|||Central precocious puberty|
Dexamethasone|C422|||Allergic disorders; antiemetic; corneal injury; inflammatory conditions|
Dexmethylphenidate|C26642|||Attention Deficit Hyperactivity Disorder.|
