Abdominal sepsis 	C1141926
Operation on abdominal region 	C0198482
Poisoning by acetaminophen 	C0237963
Metabolic acidosis 	C0220981
acquired immunodeficiency 	C0596032
Hereditary acrodermatitis enteropathica 	C0221036
ACTH hypersecretion not causing Cushing's syndrome 	C0342363
Unspecified Abortion 	C0156543
Actinomycosis 	C0001261
Lacrimal canaliculus inflamed 	C0423172
Angina, Unstable 	C0002965
Acute asthma 	C0582415
Acute bacterial exacerbation of chronic bronchitis 	C1735365
Acne 	C0702166
Acute bronchiolitis due to respiratory syncytial virus 	C0348799
Acute bronchitis 	C0149514
Acute Conjunctivitis 	C0155141
Acute exacerbation of chronic bronchitis 	C0856695
Acute intermittent porphyria 	C0162565
Acute leukemia 	C0085669
Acute maxillary sinusitis 	C0155804
Acute Pancreatitis 	C0001339
Addisonian crisis 	C0151467
Common Cold 	C0009443
Acute nasopharyngitis 	C2239278
Acute viral laryngitis unspecified 	C0396034
Addictive Behavior 	C0085281
Addison Disease 	C0001403
Malignant Adrenal Gland Neoplasm 	C0750887
NR5A1 gene 	C1417838
Adrenogenital Syndrome 	C0302280
Adrenoleukodystrophy 	C0162309
Afibrinogenemia 	C0001733
Agammaglobulinemia 	C0001768
Agranulocytosis 	C0001824
stimulation of bone mineralization 	C2244555
Acromegaly 	C0001206
Actinic keratosis 	C0022602
Acute Coronary Syndrome 	C0948089
Adenomatous Polyps 	C0206677
Adrenocortical carcinoma 	C0206686
Sarcopenia 	C0872084
LEAN BODY MASS QUANTITATIVE TRAIT LOCUS 1 	C2674799
ATOMIC ABSORPTION, CALCIUM 	C0492305
Carbohydrate Metabolic Process 	C0302820
Alcoholic Intoxication, Chronic 	C0001973
Alcoholic Polyneuropathy 	C0085677
Fatty Liver, Alcoholic 	C0015696
Alcoholic Liver Diseases 	C0023896
cholesterol metabolic process 	C1156530
Malignant neoplasm of alimentary canal or tract NOS 	C0864885
Allergic contact dermatitis of external ear 	C1643223
Lipid Metabolic Process 	C0598783
Allergic asthma 	C0155877
Allergic bronchitis 	C1260881
Allergic Conjunctivitis 	C0009766
Allergic cough 	C0577662
Dermatitis, Atopic 	C0011615
