CL378800|RID0|Radlex ontology entity|Radlex ontology entity [RADLEX3_33/PT]||
CL386149|RID1|RadLex entity|RadLex entity [RADLEX3_33/PT]||
C0500467|RID3|anatomical entity|Anatomical spatial entity [SNOMEDCT_2010_01_31/PT]||
C0005847|RID4|blood vessel|Blood Vessels [MTH2010AA/PN]||
CL379783|RID5|imaging observation|imaging observation [RADLEX3_33/PT]||
CL382964|RID6|Radlex descriptor|Radlex descriptor [RADLEX3_33/PT]||
C0087111|RID8|treatment|Therapeutic procedure [MTH2010AA/PN]|therapy|
C0806487|RID10|image quality|Image Quality [NCI2011_01E/PT]||
CL381495|RID11|exemplary quality|Exemplary Quality [NCI2011_01E/PT]||
CL381496|RID12|diagnostic quality|Diagnostic Quality [NCI2011_01E/PT]||
CL381497|RID13|limited quality|Limited Quality [NCI2011_01E/PT]||
CL381498|RID14|non-diagnostic quality|Non-diagnostic Quality [NCI2011_01E/PT]|nondiagnostic quality|
CL381499|RID16|teaching descriptor|teaching descriptor [RADLEX3_33/PT]||
CL381500|RID17|perceptual difficulty|perceptual difficulty [RADLEX3_33/PT]||
CL381501|RID18|basic perceptual difficulty|basic perceptual difficulty [RADLEX3_33/PT]||
CL381502|RID19|intermediate perceptual difficulty|intermediate perceptual difficulty [RADLEX3_33/PT]||
CL381503|RID20|advanced perceptual difficulty|advanced perceptual difficulty [RADLEX3_33/PT]||
CL381504|RID21|analytical difficulty|analytical difficulty [RADLEX3_33/PT]||
CL381505|RID22|basic analytical difficulty|basic analytical difficulty [RADLEX3_33/PT]||
CL381506|RID23|intermediate analytical difficulty|intermediate analytical difficulty [RADLEX3_33/PT]||
CL381507|RID24|advanced analytic difficulty|advanced analytic difficulty [RADLEX3_33/PT]||
CL381508|RID25|representativeness|representativeness [RADLEX3_33/PT]||
CL381509|RID26|typical|typical [RADLEX3_33/PT]||
C0205182|RID27|atypical|Atypical [NCI2011_01E/PT]||
CL381510|RID28|mimics another entity|mimics another entity [RADLEX3_33/PT]||
C0205423|RID29|certainty|Certainty [SNOMEDCT_2010_01_31/PT]|confidence|
C1444703|RID31|definitely|Definitely present [SNOMEDCT_2010_01_31/PT]||
CL381512|RID32|almost certainly present|almost certainly present [RADLEX3_33/PT]||
C1444704|RID33|probably|Probably present [SNOMEDCT_2010_01_31/PT]||
CL415205|RID34|possibly|possibly [RADLEX3_33/PT]|may be|
CL415205|RID34|possibly|possibly [RADLEX3_33/PT]|maybe|
C1444705|RID36|probably not|Probably not present [SNOMEDCT_2010_01_31/PT]|probably absent|
CL415206|RID38|almost certainly|almost certainly [RADLEX3_33/PT]||
C1444706|RID39|definitely not|Definitely not present [SNOMEDCT_2010_01_31/PT]|definitely absent|
C0000726|RID56|abdomen|Abdomen [MTH2010AA/PN]|abdominopelvis|
C0000726|RID56|abdomen|Abdomen [MTH2010AA/PN]|abdominopelvic region|
CL380304|RID57|abdominal solid organ|abdominal solid organ [RADLEX3_33/PT]||
C0023884|RID58|liver|Liver [MTH2010AA/PN]||
C0734828|RID59|hepatovenous subsector|Hepatovenous subsector [UWDA173/PT]||
C0457139|RID62|hepatovenous segment II|Couinaud hepatic segment II [SNOMEDCT_2010_01_31/PT]|left posterior lateral segment of liver|
C0457139|RID62|hepatovenous segment II|Couinaud hepatic segment II [SNOMEDCT_2010_01_31/PT]|couinaud hepatic segment II|
C0457139|RID62|hepatovenous segment II|Couinaud hepatic segment II [SNOMEDCT_2010_01_31/PT]|Couinaud hepatic segment 2|
