10017004|Occlusal wear of teeth (disorder)|SY|2|K03.0|Excessive attrition of teeth|
10041001|Tracheal stenosis following tracheostomy (disorder)|SY|2|J95.03|Malfunction of tracheostomy stoma|
10057001|Chronic lichenoid pityriasis (disorder)|SY|1|L41.1|Pityriasis lichenoides chronica|
10065003|Excoriated acne (disorder)|SY|1|L70.5|Acné excoriée des jeunes filles|
10078003|Turner's tooth (disorder)|SY|2|K00.4|Disturbances in tooth formation|
10085004|Metatarsalgia (finding)|SY|1|M77.4|Metatarsalgia|
10085004|Metatarsalgia (finding)|SY|1|M77.40|Metatarsalgia, unspecified foot|
10087007|Infection by Schistosoma (disorder)|SY|1|B65|Schistosomiasis [bilharziasis]|
10087007|Infection by Schistosoma (disorder)|SY|1|B65.9|Schistosomiasis, unspecified|
10100008|Malignant glaucoma (disorder)|SY|2|H40.83|Aqueous misdirection|
10114008|Female sterility (finding)|SY|2|N97|Female infertility|
10129005|Injury of brachial artery (disorder)|SY|1|S45.1|Injury of brachial artery|
10137002|Burn erythema of chin (disorder)|SY|1|T20.13|Burn of first degree of chin|
10155006|Bilateral congenital dislocation of hip (disorder)|SY|1|Q65.1|Congenital dislocation of hip, bilateral|
10184002|Recurrent cholangitis (disorder)|SY|2|K83.0|Cholangitis|
10196009|Juvenile osteochondrosis of acetabulum (disorder)|SY|2|M91.0|Juvenile osteochondrosis of pelvis|
10217006|Third degree perineal laceration (disorder)|SY|1|O70.2|Third degree perineal laceration during delivery|
1023001|Apnea (finding)|SY|2|R06.81|Apnea, not elsewhere classified|
10235002|Tetrachloroethylene poisoning (disorder)|SY|1|T53.3|Toxic effects of tetrachloroethylene|
10235002|Tetrachloroethylene poisoning (disorder)|SY|1|T53.3x|Toxic effects of tetrachloroethylene|
10235002|Tetrachloroethylene poisoning (disorder)|SY|1|T53.3x1|Toxic effect of tetrachloroethylene, accidental (unintentional)|
102396000|Bungee jumping (qualifier value)|SY|1|Y93.34|Bungee jumping|
102449007|Tardive dyskinesia (disorder)|SY|2|G24.01|Drug induced subacute dyskinesia|
102452004|Abscess of thyroid (disorder)|SY|2|E06.0|Acute thyroiditis|
102453009|Peritonsillar cellulitis (disorder)|SY|2|J36|Peritonsillar abscess|
102455002|Hemorrhagic nephroso-nephritis (disorder)|SY|1|A98.5|Hemorrhagic fever with renal syndrome|
102458000|Shaken baby syndrome (finding)|SY|1|T74.4|Shaken infant syndrome|
10246004|Acquired claw foot (disorder)|SY|1|M21.53|Acquired clawfoot|
102556003|Pain in upper limb (finding)|SY|2|M79.603|Pain in arm, unspecified|
102581000|Excessive bronchial secretion (finding)|SY|2|R09.3|Abnormal sputum|
102598000|Clammy skin (finding)|SY|2|R23.1|Pallor|
102602003|Paresthesia of skin (finding)|SY|1|R20.2|Paresthesia of skin|
102614006|Generalized abdominal pain (finding)|SY|1|R10.84|Generalized abdominal pain|
102878001|Recurrent abortion (disorder)|SY|1|N96|Habitual aborter|
