Acatalasemia|C84526|C0268419|111393000|Acatalasia (disorder)|
Acinar Cell Carcinoma|C3768|C0206685|45410002|Acinar cell carcinoma|
Acquired Hyperostosis Syndrome|C84530|C0263859|60684003|Synovitis acne pustulosis hyperostosis osteomyelitis syndrome (disorder)|
Actinomycosis|C34350|C0001261|11817007|Actinomycotic infection (disorder)|
Acute Hemorrhagic Leukoencephalitis|C84535|C0014077|72986009|Acute hemorrhagic leukoencephalitis (disorder)|
Acute Infective Polyneuritis|C26790|C0018378|193174005|Post-infectious polyneuritis (disorder)|
Acute Liver Failure|C84396|C0162557|197270009|Acute hepatic failure (disorder)|
Acute Megakaryoblastic Leukemia|C3170|C0023462|277602003|Acute megakaryoblastic leukemia (disorder)|
Albinism|C84543|C0001916|15890002|Albinism (disorder)|
Alveolar Rhabdomyosarcoma|C3749|C0206655|404053004|Alveolar rhabdomyosarcoma (disorder)|
Amebiasis|C84551|C0002438|105637008|Disease due to Endamoebidae (disorder)|
Anal Neoplasm|C2877|C0003463|126849006|Neoplasm of anus (disorder)|
Autosomal Dominant Optic Atrophy|C84577|C0338508|2065009|Dominant hereditary optic atrophy (disorder)|
Autosomal Recessive Polycystic Kidney Disease|C84579|C0085548|28770003|Polycystic kidney disease, infantile type (disorder)|
Becker's Muscular Dystrophy|C84587|C0917713|387732009|Becker muscular dystrophy (disorder)|
Blastomycosis|C34428|C0005716|69996000|Blastomycosis (disorder)|
Bronchitis|C2911|C0006277|32398004|Bronchitis (disorder)|
Bronchogenic Carcinoma|C35875|C0007121|254622008|Squamous cell carcinoma of bronchus (disorder)|
Brucellosis|C84602|C0006309|75702008|Brucellosis (disorder)|
Brucellosis|C84602|C0006309|111804008|Brucellosis due to Brucella sp. (disorder)|
Carbamoyl-Phosphate Synthetase I Deficiency|C84612|C0751753|62522004|Congenital hyperammonemia, type I (disorder)|
Cardiac Arrest|C50479|C0018790|397829000|Asystole (disorder)|
Carney Syndrome|C4705|C0406810|239132009|Atrial myxoma with lentigines (disorder)|
Cat-Scratch Disease|C84620|C0007361|79974007|Cat scratch disease (disorder)|
Central Core Disease|C83010|C0751951|43152001|Central core disease (disorder)|
Cerebral Amyloid Angiopathy|C84625|C0085220|230724001|Cerebral amyloid angiopathy (disorder)|
Cervical Symmetrical Lipomatosis|C4392|C0024445|63365006|Madelung's neck (disorder)|
Chondrosarcoma|C2946|C0008479|189886003|[M]Chondrosarcoma NOS|
Chromosome Disorder|C34470|C0008626|409709004|Chromosomal disorder (disorder)|
Chronic Lymphocytic Leukemia|C3163|C0023434|277473004|B-cell chronic lymphocytic leukemia (disorder)|
Chronic Myelogenous Leukemia, BCR-ABL1 Positive|C3174|C0023473|92818009|Chronic myeloid leukemia, disease (disorder)|
Ciliary Motility Defect|C84638|C0008780|86204009|Immotile cilia syndrome (disorder)|
Coccidiosis|C34493|C0009187|62005008|Coccidiosis (disorder)|
Coma|C34497|C0009421|371632003|Coma (disorder)|
Congenital Dyserythropoietic Anemia|C84646|C0002876|52951008|Congenital dyserythropoietic anemia (disorder)|
Congenital Septal Defect|C84482|C0018816|253273004|Cardiac septal defects (disorder)|
Congenital Syphilis|C84649|C0039131|35742006|Congenital syphilis (disorder)|
Congestive Heart Failure|C3080|C0018802|42343007|Congestive heart failure (disorder)|
Coronary Artery Disease|C26732|C0010068|53741008|Coronary arteriosclerosis (disorder)|
Costello Syndrome|C84652|C0587248|309776008|Costello syndrome (disorder)|
Cowden Syndrome|C3076|C0018553|58037000|Cowden syndrome (disorder)|
Craniofacial Dysostosis|C84653|C0010273|28861008|Crouzon syndrome (disorder)|
Crohn Disease|C2965|C0010346|34000006|Crohn's disease (disorder)|
Cutaneous T-Cell Non-Hodgkin Lymphoma|C3467|C0079773|28054005|[M] Cutaneous lymphoma|
Cytomegaloviral Infection|C53649|C0010823|28944009|Cytomegalovirus infection (disorder)|
De Sanctis-Cacchione Syndrome|C84666|C0265201|414673004|Mental retardation, dwarfism, and gonadal hypoplasia due to xeroderma pigmentosa (disorder)|
Dengue Hemorrhagic Fever|C34683|C0019100|20927009|Dengue hemorrhagic fever (disorder)|
Denys-Drash Syndrome|C84668|C0950121|236385009|Drash syndrome (disorder)|
Dermatitis|C2983|C0011603|43116000|Eczema (disorder)|
Diabetes Insipidus|C43263|C0011848|15771004|Diabetes insipidus (disorder)|
Diffuse Cerebral Sclerosis of Schilder|C84670|C0007795|49692006|Schilder's disease (disorder)|
Diverticulitis|C26752|C0012813|307496006|Diverticulitis (disorder)|
Ehlers-Danlos Syndrome|C34568|C0013720|398114001|Ehlers-Danlos syndrome (disorder)|
Eisenmenger Syndrome|C84390|C0013743|83130006|Eisenmenger's defect (disorder)|
Emery-Dreifuss Muscular Dystrophy|C84685|C0410189|111508004|Emery-Dreifuss muscular dystrophy (disorder)|
Enchondromatosis|C3008|C0014084|268274005|Enchondromatosis (disorder)|
Enteritis|C26765|C0014335|64613007|Enteritis, inflammatory disorder of small intestine (disorder)|
Eye Disorder|C26767|C0015397|371409005|Disorder of eye region (disorder)|
Factor I Deficiency|C26692|C0001733|278504009|Afibrinogenemia (disorder)|
Factor XII Deficiency|C26770|C0015526|46981006|Factor XII deficiency disease (disorder)|
Fibromuscular Dysplasia|C84714|C0016052|359553002|Fibromuscular hyperplasia of artery (disorder)|
Ganglioglioma|C3788|C0206716|89880005|Ganglioglioma|
Gastroschisis|C84725|C0265706|72951007|Gastroschisis (disorder)|
Glycogen Storage Disease|C61272|C0017919|29633007|Glycogen storage disease (disorder)|
Glycogen Storage Disease Type II|C84734|C0017921|124462004|Deficiency of alpha-glucosidase (disorder)|
Glycogen Storage Disease Type III|C84736|C0017922|66937008|Glycogen storage disease, type III (disorder)|
Glycogen Storage Disease Type IV|C84737|C0017923|124267007|Deficiency of 1,4-alpha-glucan branching enzyme (disorder)|
GM1 Gangliosidosis|C84739|C0085131|238025006|GM1 gangliosidosis (disorder)|
Goiter|C26785|C0018021|3716002|Goiter (disorder)|
Granulosa Cell Tumor|C3070|C0018206|189734000|[M]Granulosa cell tumor NOS|
Hairy Cell Leukemia|C7402|C0023443|54087003_198488017|Leukemic reticuloendotheliosis|
Heart Block|C34665|C0018794|233916004|Heart block (disorder)|
Hepatitis C Infection|C3098|C0019196|50711007|Viral hepatitis C (disorder)|
Hepatoblastoma|C3728|C0206624|109843000|Hepatoblastoma (disorder)|
Hidradenoma|C7563|C0019522|400099008_1787095015|Eccrine acrospiroma|
Hunter Syndrome|C61260|C0026705|70737009|Mucopolysaccharidosis, MPS-II (disorder)|
Hydrops Fetalis|C84767|C0020305|276508000|Hydrops fetalis (disorder)|
Hymenolepiasis|C84768|C0020413|44917000|Hymenolepiasis (disorder)|
Hyperlipoproteinemia Type I|C84771|C0023817|238086005|Fredrickson type I hyperlipoproteinemia (disorder)|
