(-)-catechin 	|C63654|Cianidanol|PT|1|
(-)-catechin 	|C63654|Catechin|SY|2|
(-)-catechin 	|C63654|2R-trans)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,5,7-triol|SY|2|
(-)-catechin 	|C63654|2R,3S)-2-(3,4-dihydroxyphenyl)chroman-3,5,7-triol|SY|2|
(-)-catechin 	|C63654|(+)-Catechin|SY|2|
(-)-catechin 	|C63654|(2R-trans)-2-(3,4-Dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,5,7-triol|CSN|2|
3-hydroxy-DL-kynurenine 	|C63766|3-Hydroxykynurenine|PT|1|
3-hydroxy-DL-kynurenine 	|C63766|alpha,2-Diamino-3-hydroxy-gamma-oxobenzenebutanoic Acid|CSN|2|
3-hydroxy-DL-kynurenine 	|C63766|3-Hydroxy-DL-kynurenine|SY|2|
3-hydroxy-DL-kynurenine 	|C63766|3-(3-Hydroxyanthraniloyl)alanine|CSN|2|
HC toxin 	|C1121|HC-Toxin|PT|1|
HC toxin 	|C1121|Cyclo(D-Pro-L-Ala-D-Ala-L-Aeo)|CSN|2|
HC toxin 	|C1121|Cyclic(L-alanyl-D-alanyl-eta-oxo-L-alpha-aminooxiraneoctanoyl-D-prolyl)|CSN|2|
acetylsalicylic acid 	|C287|Aspirin|PT|1|
acetylsalicylic acid 	|C287|Acetylsalicylic Acid|SY|2|
acetylsalicylic acid 	|C287|Aspergum|BN|2|
acetylsalicylic acid 	|C287|Empirin|BN|2|
acetylsalicylic acid 	|C287|Extren|BN|2|
acetylsalicylic acid 	|C287|Measurin|BN|2|
acetylsalicylic acid 	|C287|2-(Acetyloxy)benzoic Acid|CSN|2|
acetylsalicylic acid 	|C287|Ecotrin|BN|2|
acetylsalicylic acid 	|C287|Entericin|BN|2|
acetylsalicylic acid 	|C287|ASA|AB|2|
amitriptyline 	|C62005|Amitriptyline|PT|1|
arachidonic acid 	|C282|Arachidonic Acid|PT|1|
arachidonic acid 	|C282|(all-Z)-5,8,11,14-Eicosatetraenoic Acid|CSN|2|
arachidonic acid 	|C282|Arachidonate|SY|2|
azathioprine|C290|Azathioprine|PT|1|
azathioprine|C290|AZA|AB|2|
azathioprine|C290|AZTP|AB|2|
azathioprine|C290|6-[(1-Methyl-4-nitro-1H-imidazol-5-yl)thio]-1H-purine|CSN|2|
benserazide 	|C81109|Benserazide|PT|1|
benserazide 	|C81109|Ro 4-4602|CCN|2|
benserazide 	|C81109|DL-Seryltrihydroxybenzylhydrazine|CSN|2|
bucladesine|C83562|Bucladesine|PT|1|
carbamazepine 	|C341|Carbamazepine|PT|1|
carbamazepine 	|C341|Epitol|BN|2|
carbamazepine 	|C341|Tegretol|BN|2|
carbamazepine 	|C341|5H-Dibenz(b,f)azepine-5-carboxamide|CSN|2|
celecoxib 	|C1728|Celecoxib|PT|1|
celecoxib 	|C1728|4-(5-(4-methylphenyl)-3-(trifluoromethyl)-1H-pyrazol-1-yl)benzenesulfonamide|CSN|2|
celecoxib 	|C1728|SC-58635|CCN|2|
celecoxib 	|C1728|YM 177|SY|2|
celecoxib 	|C1728|Celebrex|BN|2|
chlorpromazine 	|C367|Chlorpromazine|PT|1|
chlorpromazine 	|C367|Thorazine|BN|2|
chlorpromazine 	|C367|Chlor-PZ|FBD|2|
chlorpromazine 	|C367|2-Chloro-10-(3-(dimethylamino)propyl)phenothiazine|CSN|2|
chlorpropamide|C47447|Chlorpropamide|PT|1|
chlorpropamide|C47447|Urea, 1-((p-chlorophenyl)sulfonyl)-3-propyl-|CSN|2|
chlorpropamide|C47447|Prodiaben|BN|2|
chlorpropamide|C47447|Diabinese|BN|2|
chlorpropamide|C47447|4-Chloro-4-((propylamino)carbonyl)benzenesulfonamide|CSN|2|
chlorpropamide|C47447|Benzenesulfonamide, 4-chloro-N-((propylamino)carbonyl)-|CSN|2|
ciclosporin|C406|Cyclosporine|PT|1|
ciclosporin|C406|Cyclosporin A|SY|2|
ciclosporin|C406|CsA|AB|2|
ciclosporin|C406|Ciclosporin|SY|2|
ciclosporin|C406|SangCya|BN|2|
ciclosporin|C406|OL 27-400|CCN|2|
ciclosporin|C406|27-400|CCN|2|
ciclosporin|C406|Sandimmune|BN|2|
ciclosporin|C406|Sandimmun|BN|2|
ciclosporin|C406|Cyclosporin|SY|2|
ciclosporin|C406|Neoral|BN|2|
clofibrate 	|C378|Clofibrate|PT|1|
