ATN|MRCOLS|varchar(100)|Attribute name|12-sep-2002 18:10:46|
ATNL|MRCOLS|varchar(4000)|Attribute name list for a source|12-sep-2002 18:10:46|
ATV|MRCOLS|varchar(8000)|Attribute value|12-sep-2002 18:10:46|
ATX|MRCOLS|varchar(300)|Associated expression|12-sep-2002 18:10:46|
AV|MRCOLS|numeric(5,2)|Average Length, Characters|12-sep-2002 18:10:46|
BTS|MRCOLS|integer|Size in Bytes|12-sep-2002 18:10:46|
CENC|MRCOLS|varchar(20)|Character encoding of a source as specified by IANA|12-sep-2002 18:10:46|
CFR|MRCOLS|integer|CUI frequency for a source|12-sep-2002 18:10:46|
CLS|MRCOLS|integer|Number of columns|12-sep-2002 18:10:46|
COA|MRCOLS|varchar(300)|Attributes of co-occurrence|12-sep-2002 18:10:46|
CODE|MRCOLS|varchar(50)|Unique Identifier or code for string in source|12-sep-2002 18:10:46|
COF|MRCOLS|integer|Frequency of co-occurrence|12-sep-2002 18:10:46|
COL|MRCOLS|varchar(10)|Column or data element name|12-sep-2002 18:10:46|
COT|MRCOLS|varchar(3)|Type of co-occurrence|12-sep-2002 18:10:46|
CUI|MRCOLS|char(8)|Unique identifier for concept|12-sep-2002 18:10:46|
CUI1|MRCOLS|char(8)|Unique identifier of first concept|12-sep-2002 18:10:46|
CUI2|MRCOLS|char(8)|Unique identifier of second concept|12-sep-2002 18:10:46|
CURVER|MRCOLS|char(1)|Current Version flag|12-sep-2002 18:10:46|
CXL|MRCOLS|char(3)|Context member label|12-sep-2002 18:10:46|
CXN|MRCOLS|integer|Context number|12-sep-2002 18:10:46|
CXS|MRCOLS|varchar(3000)|String for context member|12-sep-2002 18:10:46|
CXTY|MRCOLS|varchar(50)|Context type for a source (as per section 2.3.2)|12-sep-2002 18:10:46|
DEF|MRCOLS|varchar(8000)|Definition|12-sep-2002 18:10:46|
DES|MRCOLS|varchar(100)|Descriptive Name|12-sep-2002 18:10:46|
DTY|MRCOLS|varchar(20)|SQL-92 data type for this column|12-sep-2002 18:10:46|
FR|MRCOLS|integer|Frequency count of number of occurrences of concept|12-sep-2002 18:10:46|
HCD|MRCOLS|varchar(50)|Hierarchical number or code of context member|12-sep-2002 18:10:46|
IMETA|MRCOLS|varchar(10)|Version of the Metathesaurus that a source was added|12-sep-2002 18:10:46|
ISN|MRCOLS|varchar(20)|Name of information source or database|12-sep-2002 18:10:46|
LAT|MRCOLS|char(3)|Language of Term(s)|12-sep-2002 18:10:46|
LRL|MRCOLS|integer|Least Restriction Level|12-sep-2002 18:10:46|
LUI|MRCOLS|varchar(10)|Unique identifier for term|12-sep-2002 18:10:46|
MAPIN|MRCOLS|char(1)|Mapping in current subset|12-sep-2002 18:10:46|
MAX|MRCOLS|integer|Maximum Length|12-sep-2002 18:10:46|
MG|MRCOLS|varchar(1)|Machine generated and unverified indicator|12-sep-2002 18:10:46|
MIN|MRCOLS|integer|Minimum Length|12-sep-2002 18:10:46|
MRATX|MRFILES|CUI,SAB,REL,ATX|Associated Expressions|12-sep-2002 18:10:46|
MRCOC|MRFILES|CUI1,CUI2,SOC,COT,COF,COA|Co-occurring Concepts|12-sep-2002 18:10:46|
MRCOLS|MRFILES|COL,DES,REF,MIN,AV,MAX,FIL,DTY|Attribute Relation|12-sep-2002 18:10:46|
MRCON|MRFILES|CUI,LAT,TS,LUI,STT,SUI,STR,LRL|Concept Names|12-sep-2002 18:10:46|
MRCUI|MRFILES|CUI1,VER,CREL,CUI2,MAPIN|CUI History|12-sep-2002 18:10:46|
MRCXT|MRFILES|CUI,SUI,SAB,CODE,CXN,CXL,RNK,CXS,CUI2,HCD,RELA,XC|Concept Contexts|12-sep-2002 18:10:46|
MRDEF|MRFILES|CUI,SAB,DEF|Definitions|12-sep-2002 18:10:46|
MRDOC|MRFILES|DOCKEY,VALUE,TYPE,EXPL|Typed key value metadata map||||09-JUN-07|
MRFILES|MRFILES|FIL,DES,FMT,CLS,RWS,BTS|Relation Relation|12-sep-2002 18:10:46|
MRLO|MRFILES|CUI,ISN,FR,UN,SUI,SNA,SOUI|Locators|12-sep-2002 18:10:46|
MRRANK|MRFILES|RANK,SAB,TTY,SUPRES|Concept Name Ranking|12-sep-2002 18:10:46|
MRREL|MRFILES|CUI1,REL,CUI2,RELA,SAB,SL,MG|Related Concepts|12-sep-2002 18:10:46|
