LAT|MRCOLS|char(3)|Language of Term(s)||||07-OCT-08|
LRL|MRCOLS|integer|Least Restriction Level||||07-OCT-08|
LUI|MRCOLS|varchar(10)|Unique identifier for term||||07-OCT-08|
MAPATN|MRCOLS|varchar(20)|Mapping attribute name (for future use)||||07-OCT-08|
MAPATV|MRCOLS|varchar(4000)|Mapping attribute value (for future use)||||07-OCT-08|
MAPID|MRCOLS|varchar(50)|Metathesaurus asserted identifier for mapping||||07-OCT-08|
MAPIN|MRCOLS|char(1)|Mapping in current subset||||07-OCT-08|
MAPRANK|MRCOLS|integer|Order in which mappings in a subset should be applied||||07-OCT-08|
MAPREASON|MRCOLS|varchar(4000)|Reason for mapping||||07-OCT-08|
MAPRES|MRCOLS|varchar(4000)|Restriction applicable to this mapping||||07-OCT-08|
MAPRULE|MRCOLS|varchar(4000)|Machine processible rule applicable to this mapping||||07-OCT-08|
MAPSETCUI|MRCOLS|char(8)|CUI of the map set||||07-OCT-08|
MAPSETSAB|MRCOLS|varchar(40)|SAB of the map set||||07-OCT-08|
MAPSID|MRCOLS|varchar(50)|Source asserted identifier for mapping||||07-OCT-08|
MAPSUBSETID|MRCOLS|varchar(10)|Map subset identifier used to identify a subset of related mappings within a map set||||07-OCT-08|
MAPTYPE|MRCOLS|varchar(50)|Type of mapping||||07-OCT-08|
MAX|MRCOLS|integer|Maximum Length||||07-OCT-08|
METAUI|MRCOLS|varchar(50)|Metathesaurus asserted unique identifier||||07-OCT-08|
MG|MRCOLS|varchar(1)|Machine generated and unverified indicator||||07-OCT-08|
MIN|MRCOLS|integer|Minimum Length||||07-OCT-08|
MRAUI|MRFILES|AUI1,CUI1,VER,REL,RELA,MAPREASON,AUI2,CUI2,MAPIN|AUI History||||07-OCT-08|
MRCOC|MRFILES|CUI1,AUI1,CUI2,AUI2,SAB,COT,COF,COA,CVF|Co-occurring Concepts||||07-OCT-08|
MRCOLS|MRFILES|COL,DES,REF,MIN,AV,MAX,FIL,DTY|Attribute Relation||||07-OCT-08|
MRCONSO|MRFILES|CUI,LAT,TS,LUI,STT,SUI,ISPREF,AUI,SAUI,SCUI,SDUI,SAB,TTY,CODE,STR,SRL,SUPPRESS,CVF|Concept names and sources||||07-OCT-08|
MRCUI|MRFILES|CUI1,VER,REL,RELA,MAPREASON,CUI2,MAPIN|CUI History||||07-OCT-08|
MRCXT|MRFILES|CUI,SUI,AUI,SAB,CODE,CXN,CXL,RANK,CXS,CUI2,AUI2,HCD,RELA,XC,CVF|Concept Contexts||||07-OCT-08|
MRDEF|MRFILES|CUI,AUI,ATUI,SATUI,SAB,DEF,SUPPRESS,CVF|Definitions||||07-OCT-08|
