MGV_H1|MV,MG||A|I|15-jan-1998 15:35:14||Merging across MSH codes (D-D, Q-Q, D-Q, Q-C)|Merging two concepts where both contain releasable current version MSH atoms with different codes, specifically (D-D, Q-Q, D-Q, Q-C). However, D-Q may exist together if the D has termgroup EN, EP, or MH and the Q has termgroup GQ.|
MGV_H2|MV,MG||A|I|15-jan-1998 15:36:17||MErging across MSH codes (D-C, C-C)|Merging two concepts both containing releasable, current version MSH atoms with different codes.  Specifically (D-C, C-C).|
MGV_I|MV,MG||A|I|05-aug-1996 20:49:58||Merging same source different codes.|Merging two concepts that both contain releasable atoms from the same source but different codes and that source is listed in ic_single.  Typically the MGV_B and MGV_I lists should be disjoint.|
MGV_J|MV,MG||A|I|01-jun-1998 00:00:00||Merging across sources different codes|Merging two concepts that contain releasable atoms across sources (usually previous and update versions of same source) but different codes where these sources are listed in ic_pair.|
MGV_K|MV,MG||A|I|08-sep-1998 00:00:00||MGV_J with exceptions|Merging two concepts in such a way to produce an MGV_J violation, unless the merge will not increase the distinct code count in the target concept.  In other words, if all of the codes from the source concept atoms appear already in the target concept, there is not violation.|
MGV_L|MV,MG||A|I|08-sep-1998 00:00:00||Generic pair constraint|Merging two concepts in which one contains one object (STY,source,termgroup) and the other contains an incompatible object as listed in ic_pair.|
MGV_M|MV,MG||A|I|20-jun-2000 00:00:00||Cross-source NEC merges.|Merging two concepts that contain releasable "NEC" atoms with different sources.|
MGV_PN|MV,MG||A|I|09-jan-1998 18:26:12|18-dec-1997 00:00:00|PN Merge|Merging two concepts that both contain releasable MTH/PN atoms.|
MGV_MM|MV,MG||A|I|09-jan-1998 18:26:12|18-dec-1997 00:00:00|MM Merge|Merging two concepts that both contain releasable MTH/MM atoms.|
MVS_A|MV,SP||A|I|09-jan-1998 18:26:12|18-dec-1997 00:00:00|MM Split|Splitting a concept containing atoms with the same last_release_cui|
MGV_ADHOC|MG,MV||A|I|13-sep-2000 13:26:19||Ad hoc constraint|Merging two concepts where one contains a releasable, current version MDR atom and the other has a chemical semantic type.|
DT_MM1|CS,CA,CF,MV,D,MG,I,SP,CT|MV,D,MG,I,SP,CT|A|R|09-jan-1998 18:25:00|18-dec-1997 00:00:00|Ambiguous string no relationship|Concept contains a releasable ambiguous string but at least once concept in this ambiguous cluster is lacking an approved (or unreviewed), releasable relationship to one of the other concepts in the cluster.|
