COMPONENT|RELEASE|VERSION|DATE|CHANGES|COMMENTS|DATE|
meme.prop|4|1|20011101|First release.||11/01|
memerun.pl|4|1|20011101|First release.||11/01|
reports.pl|4|1|20011101|First release.||11/01|
reports.pl|4|1|20011101|First release.||11/01|
shutdown.pl|4|1|20011101|First release.||11/01|
start.pl|4|1|20011101|First release.||11/01|
gov_nih_nlm_meme.jar|4|1|20011101|First release.||11/01|
gov_nih_nlm_meme_client.jar|4|1|20011101|First release.||11/01|
gov_nih_nlm_meme_common.jar|4|1|20011101|First release.||11/01|
gov_nih_nlm_meme_server.jar|4|1|20011101|First release.||11/01|
gov_nih_nlm_meme_sql.jar|4|1|20011101|First release.||11/01|
gov_nih_nlm_meme_xml.jar|4|1|20011101|First release.||11/01|
stats.pl|4|1|20011101|First release.||11/01|
memerun.pl|4|1|20020201|Re-make of v1 release to work with meme.jar||02/01|
start.pl|4|2|20020201|Remake of v2 release to work with meme.jar||02/01|
meme.jar|4|2|20020201|Repackaging of code into a single jar file.  This<br>file contains all of the MEME4 classes as well as<br>all of the auxiliary code needed to make MEME4 run.<br>This component can be used for server-side or<br>client-side installations.||02/01|
meme.prop|4|2|20020201|The offending gov.nih.nlm.meme.sql.MEMESchedule was <br>removed from the bootstrap property.||02/01|
admin.pl|4|1|20020307|First release of this component.||03/07|
meme.prop|4|3|20020307|Some property names were changed to<br>synchronize with names used by MRD.||03/07|
start.pl|4|3|20020307|Some property names were changed to<br>synchronize with names used by MRD.||03/07|
reports.pl|4|3|20020307|Supports additional switch, -atom,<br>for generating atom concept reports.||03/07|
meme.jar|4|3|20020307|There are a number of improvements/upgrades<br>1. ReportsClient has an additional method<br>   for generating atom concept reports.<br>   ReportsGenerator supports this additional<br>   report type.<br>2. AdminClient provides consolidated access<br>   to administrative services.  It is the<br>   java equivalent of admin.pl.<br>3. Optimizations to core data structures, in<br>   particular we represent Semantic Types better.<br>4. MIDServices class supports additional methods<br>   for connecting to norm, luinorm servers.<br>5. Reports show MUIs at the end of the MSH atom lines<br>   Reports also display end-of-report info slightly<br>   differently, but include the actual database name.<br>6. MGV_MUI integrity check added.<br>7. Methods to manage integrity system were added to <br>   MEMEDataSource<br>8. Initial atomic_action engine created.  A more fully<br>   specified representation of actions was <br>   implemented.||03/07|
meme.jar|4|4|20020326|Upgraded to support extended concept reports.<br>Upgraded to allow MEMERelaEditorKit to insert<br>new relationship attributes and their inverses.||03/26|
xreports.pl|4|1|20020326|First release. For documentation see:<br>http://meow.nlm.nih.gov/MEME4/Documentation/xreports.html||03/26|
meme.prop|4|4|20020326|Small changes.||03/26|
meme.jar|4|5|20020404|This release fixes the following four problems:<br>1. Max cursor limit problem.<br>2. Erroneous DEFs in reports.<br>3. Incorrect db name in html reports.<br>4. Rela editor hanging mid.<br>This jar file has been tested on oa in<br>/d5/MEME4/dev.||04/04|
